LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
LOS VERANOS INC,3 MARGARITAS,15-55538-0000 Hotel & Restaurant (city),,,03/05/2021 530 E BROMLEY LN UNIT 125,Brighton,CO,80601
MARGARITAS ENTERPRISES IN 3 MARGARITAS,,03-03421,Hotel & Restaurant (city),,08/27/2021 4010 S COLLEGE AVENUE,Fort Collins,CO,80525
UNION DE TULA AT CONIFER IN3 MARGARITAS,,03-00263,Hotel & Restaurant (county),,"11/29/2021 10903 US HIGHWAY 285, UNIT E-204 Conifer",,CO,80433
CENTRO 3M INC,3 MARGARITAS FAMILY MEXICAN RE03-12654,,Hotel & Restaurant (city),,03/26/2021 519 16TH STREET,Denver,CO,80202
LA TARASCA TORRES LLC,3 MARGARITAS FAMILY MEXICAN RE03-12851,,Hotel & Restaurant (county),,01/07/2022 1749 LAKE WOODMOOR DRIVE,Monument,CO,80132
AZABOCHE INC,3 MARGARITAS IX,40-44451-0000 Hotel & Restaurant (city),,,06/18/2021 9190 WADSWORTH PKWY,Westminster,CO,80030
CENTENARIO INC,3 MARGARITAS VI,40-56047-0000 Hotel & Restaurant (city),,,01/09/2022 6896 W 120TH AVE,Broomfield,CO,800202827
CUAUTLA INC,3 MARGARITAS VIII,40-42821-0000 Hotel & Restaurant (city),,,09/13/2021 3620 N FREEWAY RD,Pueblo,CO,810081033
TECALITLAN INC,3 MARGARITAS X,40-61914-0000 Hotel & Restaurant (city),,,04/16/2021 2350 NORTH MAIN STREET,LONGMONT,CO,805011135
3 MARGARITAS XIX INC,3 MARGARITAS XIX,42-10104-0000 Hotel & Restaurant (city),,,09/05/2021 5130 S WADSWORTH BLVD,Lakewood,CO,80123
3 MARGARITAS XVIIIINC,3 MARGARITAS XVIII,42-41983-0000 Hotel & Restaurant (city),,,01/17/2022 3202 EAST 104TH AVENUE,Thornton,CO,80229
3 MARGARITAS XX INC,3 MARGARITAS XX,42-13454-0000 Hotel & Restaurant (city),,,08/31/2021 2297 GREELEY MALL,Greeley,CO,80631
TETITAN INC,3 MARGARITAS XX,12-84358-0000 Hotel & Restaurant (city),,,09/30/2021 14697 DELAWARE ST #800,Westminster,CO,80023
"POTRO BANDOLERO, INC",3 MARGARITAS XXIV,42-59463-0000 Hotel & Restaurant (county),,,05/14/2022 2 WIDEFIELD BLVD,Colorado Springs,CO,80911
