LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
RC DUBLIN LLC,FUZZY'S TACO SHOP,03-05930,Hotel & Restaurant (city),02/04/2022 5915 DUBLIN BLVD SUITE 100,Colorado Springs,CO,80923
RC FILLMORE LLC,FUZZY'S TACO SHOP,03-10849,Hotel & Restaurant (city),01/06/2022 3111 NORTH CHESTNUT STREET,Colorado Springs,CO,80907
RC GREELEY LLC,FUZZY'S TACO SHOP,03-07399,Hotel & Restaurant (city),03/08/2021 4365 CENTERPLACE DRIVE SUITE 1Greeley,,CO,80634
RC LONGMONT LLC,FUZZY'S TACO SHOP,03-05165,Hotel & Restaurant (city),09/08/2021 1230 SOUTH HOVER STREET A-300 Longmont,,CO,80501
RC RESTAURANTS LLC,FUZZY'S TACO SHOP,28-71319-0000 Hotel & Restaurant (city),,05/08/2021 1335 W ELIZABETH ST #125,FT COLLINS,CO,805214517
RCJ RESTAURANTS LLC,FUZZY'S TACO SHOP,03-02294,Hotel & Restaurant (city),12/04/2021 2909 E HARMONY RD # 100,Fort Collins,CO,80528
ZH RESTAURANT INVESTMENT FUZZY'S TACO SHOP,,03-08185,Hotel & Restaurant (city),07/23/2021 4301 MAIN STREET SUITE 100,Westminster,CO,80031
ZH RESTAURANT INVESTMENT FUZZY'S TACO SHOP,,03-10376,Hotel & Restaurant (city),09/09/2021 7592 SOUTH UNIVERSITY BOULEVA Centennial,,CO,80122
ZH RESTAURANT INVESTMENT FUZZY'S TACO SHOP,,03-10394,Hotel & Restaurant (city),10/03/2021 3996 CENTRAL PARK BOULEVARD SDenver,,CO,80238
ZH RESTAURANT INVESTMENT FUZZY'S TACO SHOP,,03-11443,Hotel & Restaurant (city),07/07/2021 16401 EAST ARAPAHOE ROAD,Aurora,CO,80016
ZAIGER & WELCH HOLDINGS LLFUZZY'S TACO SHOP ARVADA,,03-00389,Hotel & Restaurant (city),10/08/2021 5760 OLDE WADSWORTH BLVD Unit Arvada,,CO,80002
ZAIGER & WELCH HOLDINGS II FUZZY'S TACO SHOP THORNTON,,03-03904,Hotel & Restaurant (city),12/15/2021 10280 WASHINGTON STREET,Thornton,CO,80229
GMAN INC,G & E LIQUORS,42-22753-0000 Liquor Store (city),,10/16/2021 18680 E ILIFF AVE # D,Aurora,CO,800135995
HILLS STORE INC THE,G & G LIQUOR,03-00404,Liquor Store (city),10/03/2021 8801 LOWELL BLVD,Westminster,CO,80031
G & J LONGHORN STEAKHOUSEG & J LONGHORN STEAKHOUSE,,03-09168,Hotel & Restaurant (city),01/09/2022 400 MAIN STREET,Springfield,CO,81073
G & R LIQUOR LLC,G & R LIQUOR,03-07944,Liquor Store (city),05/29/2021 3815 MAIZELAND ROAD,Colorado Springs,CO,80909
G & S SERVICES COMPANY,G & S SERVICES COMPANY,22-37577-0000 Master File (Business),,6800 SOUTH DAWSON CIRCLE SUIT Englewood,,CO,80112
GOOEE DUCK'S INC,G DUCKS BAR & GRILL,07-73758-0000 Tavern (city),,06/15/2021 15420 E HAMDPEN AVE,AURORA,CO,80013
G GRAHAM WINES INC,G GRAHAM WINES,25-49104-0000 Winery Direct Shipper's Permit,,12/22/2021 13633 POINT LAKEVIEW RD,Lower Lake,CA,954579733
G K SKAGGS INC,G K SKAGGS INC,15-47638-0000 Importer (malt liquor),,04/11/2022 100 PACIFICA STE 450,Irvine,CA,92618
G WHIL LIQUORS LLC,G WHIL LIQUORS,07-98554-0000 Liquor Store (county),,03/02/2022 24001 ROAD G2,Cortez,CO,813219542
GRAPES & BARLEY LLC,G&B IMPORTERS,03-04011,Importer (vinous & spirituous),12/02/2021 6802 INDUSTRIAL DRIVE SUITE 106 Beltsville,,MD,20705
"G.K. SKAGGS, INC","G.K. SKAGGS, INC",03-06961,Importer (vinous & spirituous),10/23/2021 100 PACIFICA SUITE 450,Irvine,CA,92618
G44 GALLERY LLC,G44 GALLERY,03-08715,Art Gallery Permit,09/14/2021 1785 SOUTH 8TH STREET SUITE A Colorado Springs,,CO,80905
1018 MAHOGANY WAY LLC,G5 BREW PUB,03-10013,Brew Pub (city),10/11/2021 1018 MAHOGANY WAY,Severance,CO,80550
XINGLONG INC,G-6 LIQUOR,03-04190,Liquor Store (city),02/23/2022 9080 W 6TH AVE,Lakewood,CO,80215
"GOLDEN SPIRIT BRANDS, LLC GABRIEL'S",,03-10447,Hotel & Restaurant (county),09/16/2021 5450 MANHART STREET,Sedalia,CO,80135
GABYS SOUPS AND MORE LLC GABYS GERMAN EATERY,,03-12547,Hotel & Restaurant (city),11/19/2021 245 SOUTH HARLAN STREET #2,Lakewood,CO,80226
GAETANO'S LLC,GAETANO'S,03-02624,Hotel & Restaurant (city),05/26/2021 3760 TEJON ST,Denver,CO,80211
GAIJIN OMAKASE LLC,GAIJIN OMAKASE,03-14180,Hotel & Restaurant (city),12/29/2021 4332 EAST 8TH AVENUE,Denver,CO,80220
GAINEY VINEYARD,GAINEY VINEYARD,03-11102,Winery Direct Shipper's Permit,01/06/2022 3950 EAST HIGHWAY 246,Santa Ynez,CA,93460
GAKU RAMEN II LLC,GAKU RAMEN,03-11376,Hotel & Restaurant (city),03/18/2022 1119 13TH STREET,Boulder,CO,80302
GALANTE FAMILY WINERY INC GALANTE FAMILY WINERY INC,,28-52675-0000 Winery Direct Shipper's Permit,,08/22/2021 18181 CACHAGUA RD,Carmel Valley,CA,939249313
GALENA CELLARS INC,GALENA CELLARS INC,28-10785-0000 Winery Direct Shipper's Permit,,03/23/2022 111 NORTH MAIN STREET,GALENA,IL,610362328
GALLEANO WINERY INC,GALLEANO WINERY INC,28-38300-0000 Winery Direct Shipper's Permit,,03/29/2022 4231 WINEVILLE RD,MIRA LOMA,CA,917521412
GALLEY LIQUORS INC,GALLEY DISCOUNT LIQUORS,03-03359,Liquor Store (city),08/21/2021 4311 GALLEY ROAD,Colorado Springs,CO,80915
"GALLICA WINERY, LLC","GALLICA WINES, LLC",03-02467,Winery Direct Shipper's Permit,01/12/2022 3125 N ST. HELENA HWY,Saint Helena,CA,94574
DUFFER HAUS LLC,GALLO - ITALIAN SUPPER CLUB AND 03-09178,,Hotel & Restaurant (city),03/07/2021 3470 SOUTH BROADWAY,Englewood,CO,80113
GAMACHE VINTNERS LLC,Gamache Vintners LLC,26-72286-0000 Winery Direct Shipper's Permit,,03/01/2022 505 Cabernet Ct,Prosser,WA,99350
"GEOPARTNERS, LLC",GAMBALWORK,03-10428,Winery Direct Shipper's Permit,08/07/2021 1251 WEST LAUREL AVENUE UNITS Lompoc,,CA,93436
GAMBLE FAMILY VINEYARDS LLGAMBLE FAMILY VINEYARDS,,25-54578-0000 Winery Direct Shipper's Permit,,01/10/2022 7554 SAINT HELENA HWY,Napa,CA,945589728
VAIL FOODS SERVICES INC,GAME CREEK CLUB,04-49011-0009 Hotel & Restaurant (county),,01/03/2022 SEC 19 T5S R80W,Vail,CO,81657
VAIL FOODS SERVICES INC,GAME CREEK CLUB VILLAGE CLUBH 04-49011-0013 Tavern (city),,,11/07/2021 278 HANSON RANCH RD,Vail,CO,81657
GAME TRAIN LLC,GAME TRAIN,03-10379,Hotel & Restaurant (county),04/01/2021 2690 EAST COUNTY LINE ROAD SUITHighlands Ranch,,CO,80126
GANDONA INC,GANDONA,03-01844,Winery Direct Shipper's Permit,07/29/2021 1533 SAGE CANYON RD,Saint Helena,CA,94574
TRUJILLO MARY HELEN,GARCIA DRIVE THRU LIQUOR STORE03-02609,,Liquor Store (county),01/23/2022 132 COUNTY RD 13.2,San Luis,CO,81152
"LAWRENCE CELLARS, LLC",GARD VINTERS,03-07992,Winery Direct Shipper's Permit,05/07/2022 1485 WEST ROSE STREET,Walla Walla,WA,99362
RAGAZZI INC,GARDEN GATE CAFE,35-06379-0000 Hotel & Restaurant (city),,08/14/2021 1135 FRANCIS ST,Longmont,CO,805013703
D & G LLC,GARDEN LANE LIQUOR,03-14075,Liquor Store (city),12/21/2021 7586 HIGHWAY 2,Commerce City,CO,80022
"BCWJ813, LLC",GARDEN OF THE GODS CLUB AND R 03-02433,,Hotel & Restaurant / Optional (c,03/30/2021 4500 KISSING CAMELS DR,Colorado Springs,CO,80904
PINERY GOURMET CATERING LGARDEN OF THE GODS GOURMET M03-03118,,,Hotel & Restaurant (city),06/26/2021 616 SOUTH TEJON STREET,Colorado Springs,CO,80903
JACK C MASON INC,GARDEN OF THE GODS LIQUOR,08-79794-0000 Liquor Store (city),,07/07/2021 777 GARDEN OF GODS ROAD,Colorado Springs,CO,80907
TAT ENTERPRISES INC,GARDEN OF THE GODS TRADING PO08-39072-0000 Beer & Wine (city),,,06/23/2021 324 BECKERS LANE,Manitou Springs,CO,80829
TRUJILLO WILLIAM R,GARDNER LIQUORS,06-20885-0000 Liquor Store (county),,07/01/2021 25153 HWY 69,Gardner,CO,81040
LORENZO SALAZAR PEREZ,GARDUNO'S,03-08884,Hotel & Restaurant (city),12/03/2021 343 CAPITOL STREET,Eagle,CO,81631
MT GARFIELD WINE CORP,GARFIELD ESTATES VINEYARD,40-77166-0001 Limited Winery,,08/15/2021 3572 G ROAD,Palisade,CO,81526
GARFINKEL ENTERPRISE LTD GARFINKEL'S,,05-44220-0000 Hotel & Restaurant (city),,09/13/2021 536 EAST LIONSHEAD CIRCLE,Vail,CO,816575208
GARGIULO VINEYARD LLC,GARGIULO VINEYARD,15-56476-0000 Winery Direct Shipper's Permit,,01/23/2022 575 OAKVILLE CROSS RD,Oakville,CA,94562
GARIBALDI MEXICAN RESTAURGARIBALDI MEXICAN RESTAURANT 03-12958,,,Hotel & Restaurant (city),03/02/2022 3471 NORTH SALIDA STREET UNIT 1Aurora,,CO,80011
ROJAS & ROJAS LLC,GARLIC & ONIONS MEXICAN GRILL 42-97287-0002 Hot,,el & Restaurant (city),11/30/2021 4333 THATCHER AVE,Pueblo,CO,810051036
FER SERVICES LLC,GARLIC KNOT,03-09328,Hotel & Restaurant (city),04/19/2021 637 24 1/2 ROAD,Grand Junction,CO,81505
GREEN BASIL LLC,GARLIC KNOT,03-04585,Beer & Wine (city),05/12/2021 5120 EAST ARAPAHOE ROAD C-2,Centennial,CO,80122
BEAR CREEK PIZZA LLC,GARLIC KNOT BEAR CREEK,03-03244,Hotel & Restaurant (city),07/31/2021 3200 SOUTH WADSWORTH BLVD UNLakewood,,CO,80227
MAYFAIR PARTNERS LLC,GARLIC KNOT MAYFAIR,03-02416,Beer & Wine (city),01/29/2022 6217 EAST 14TH AVENUE,Denver,CO,80220
GARLIC KNOT LLC THE,GARLIC KNOT THE,41-00839-0000 Beer & Wine (county),,01/11/2022 10143 W CHATFIELD AVE UNIT 9A,Littleton,CO,80127
GLASSMAN LLC,GARLIC KNOT WASH PARK,03-04596,Hotel & Restaurant (city),08/17/2021 280-282 SOUTH LOGAN STREET,Denver,CO,80209
LIVE HIGHER INC,GARLIC KNOTS PIZZA PASTA SOUTH42-98676-0000 Beer & Wine (city),,,11/09/2021 1621 CANAL CIR #100,LITTLETON,CO,801204540
TRE AMICI CORP,GARLIC MIKE'S,26-34997-0000 Hotel & Restaurant (county),,09/14/2021 2674 HWY 135,Gunnison,CO,81230
DENVER CENTER FOR THE PERGARNER GALLERIA THEATRE,,01-09592-0006 Arts License (city),,03/02/2022 1385 CURTIS ST SP 1B,Denver,CO,802042110
GARNISH INC,GARNISH INDIAN FUSION CUISINE,03-10216,Hotel & Restaurant (city),08/19/2021 6585 GREENWOOD PLAZA BOULEVAGreenwood Village CO,,,80111
D D H ENTERPRISES INC,GARRAMONE'S PIZZA,22-44905-0000 Hotel & Restaurant (city),,04/18/2021 9168 WEST JEWELL AVENUE,Lakewood,CO,802266448
LONE STAR DISTILLERY LLC,GARRISON BROTHERS DISTILLERY 03-13286,,Importer (vinous & spirituous),06/24/2021 1827 HYE ALBERT ROAD,Hye,TX,78635
AVANTI WINERY INC,GAR'S & GRAPES,14-43495-0000 Limited Winery,,05/14/2022 12431 MEAD WAY,Littleton,CO,80125
GF WINES LLC,GARY FARRELL WINERY,28-72201-0000 Winery Direct Shipper's Permit,,07/17/2021 10701 WESTSIDE RD,Healdsburg,CA,95448
GAS CAFE LLC,GAS CAFE ONE STOP,14-36521-0000 Fermented Malt Beverage On/O,,09/02/2021 602 BUTTE AVENUE,Crested Butte,CO,81224
GASHOUSE INC THE,GASHOUSE RESTAURANT THE,04-66775-0000 Hotel & Restaurant (county),,12/19/2021 34185 HWY 6,Edwards,CO,816329999
KSK GROUP INC,GASLAMP,03-11857,Tavern (city),08/14/2021 1437 MARKET STREET,Denver,CO,80202
"GLDT, LLC",GASOLINE ALLEY,42-64674-0000 Tavern (city),,10/19/2021 28 N TEJON ST,Colorado Springs,CO,809031508
GASTHOF GRAMSHAMMER INCGASTHOF GRAMSHAMMER,,04-12788-0000 Hotel & Restaurant (city),,12/31/2021 231 EAST GORE CREEK DRIVE,Vail,CO,81657
GATEWAY CANYONS LLC,GATEWAY CANYONS RESORT,41-93491-0013 Optional Premises (county),,06/04/2021 42801 CASTO LN,Gateway,CO,81522
GATEWAY CANYONS LLC,GATEWAY CANYONS RESORT,41-93491-0008 Resort Complex (county),,05/09/2021 43200 HWY 141,Gateway,CO,81522
GATEWAY CANYONS LLC,GATEWAY GENERAL STORE,04-00209,Fermented Malt Beverage Off (,01/07/2022 42740 HWY 141,Gateway,CO,81522
GATEWAY GROCERY & LIQUORGATEWAY GROCERY & LIQUOR,,03-13750,Liquor Store (county),09/21/2021 23110 US HIGHWAY 6 UNIT 8,Dillon,CO,80435
GATEWAY INN INC,GATEWAY INN,25-17493-0000 Hotel & Restaurant (city),,05/18/2021 200 WEST PORTAL ROAD,GRAND LAKE,CO,804479618
BIG S ENTERPRISES INC,GATEWAY LIQUOR,28-48509-0000 Liquor Store (county),,02/19/2022 530 S LINCOLN AVENUE,Loveland,CO,80537
JEE ENTERPRISES INC,GATEWAY LIQUOR,05-31276-0000 Liquor Store (county),,10/04/2021 3055 E HWY 50 STE A & B,Canon City,CO,81212
KUN KUN LLC,GATEWAY LIQUOR,03-13895,Liquor Store (city),10/06/2021 3751 NORTH TOWER ROAD UNIT E Aurora,,CO,80011
GATOR CYBIES LLC,GATOR CYBIES LLC,03-04099,Importer (vinous & spirituous),01/27/2022 10198 WEST DARTMOUTH AVENUE Lakewood,,CO,80227
GAUNA PAUL GAUNA CHARLENGAUNA'S WEST SIDE LIQUOR,,09-61335-0000 Liquor Store (city),,03/09/2022 2201 W 16TH STREET,Pueblo,CO,81003
MARRIOTT HOTEL SERVICES INGAYLORD ROCKIES RESORT & CONV03-10546,,,Hotel & Restaurant (city),10/08/2021 6700 NORTH GAYLORD ROCKIES BOAurora,,CO,80019
RED CHILE INC,GAZPACHO'S,09-58739-0000 Hotel & Restaurant (city),,07/24/2021 431 E 2ND AVE,DURANGO,CO,813015601
GB FISH & CHIPS 3 INC,GB FISH & CHIPS 3,43-00690-0000 Hotel & Restaurant (city),,03/04/2021 5325 EAST COLFAX AVENUE,Denver,CO,802201307
GB FISH & CHIPS 4 INC.,GB FISH & CHIPS 4,03-07171,Hotel & Restaurant (city),11/14/2021 7401 RALSTON ROAD,Arvada,CO,80002
GB FISH & CHIPS 2 INC,GB FISH AND CHIPS,25-52711-0000 Hotel & Restaurant (city),,11/02/2021 2175 SHERIDAN BLVD,Edgewater,CO,802141310
GB FISH AND CHIPS INC,GB FISH AND CHIPS,42-45646-0000 Hotel & Restaurant (city),,04/26/2021 1311 S BROADWAY,Denver,CO,802102204
GELOSO BEVERAGE GROUP LLGBG LLC,,03-14474,Importer (malt liquor),03/29/2022 1662 MANITOU ROAD,Rochester,NY,14626
CAB PRINTERS INC,GC OF CENTENNIAL (GOLDEN CORR03-13621,,Hotel & Restaurant (city),08/09/2021 15775 EAST ARAPAHOE ROAD,Centennial,CO,80016
SUWAKOTI INC,GD LIQUOR,03-14272,Liquor Store (city),01/18/2022 1208 CENTAUR VILLAGE DRIVE SUITLafayette,,CO,80026
GALASSO CORP,GE JO'S ORIGINAL,42-85211-0000 Hotel & Restaurant (city),,08/31/2021 7200 E DRY CREEK RD UNIT R,Centennial,CO,801122537
GELFAND LEONARD,GELFAND VINEYARDS,26-63097-0000 Winery Direct Shipper's Permit,,11/29/2021 5530 DRESSER RANCH ROAD,Paso Robles,CA,93446
GEMINI BREWING COMPANY LLGEMINI BREWING COMPANY LLC,,03-04862,Wholesale Beer (malt liquor),08/19/2021 5969 IRIS PARKWAY UNIT C,Frederick,CO,80530
GEMSTONE VINEYARDSLLC,GEMSTONE VINEYARD,25-59594-0000 Winery Direct Shipper's Permit,,07/07/2021 3730 SILVERADO TRAIL,Saint Helena,CA,945749701
BROOKESIDE WINERY LLC,GEN 7 WINES,03-11743,Winery Direct Shipper's Permit,05/08/2022 45 ENTERPRISE COURT,Napa,CA,94558
GENERATIONS OF SONOMA LLCGENERATIONS OF SONOMA WINERY28-60349-0000 Winery Direct Shipper's Permit,,,,"10/27/2021 21481 8TH STREET EAST, SUITE 3-6 Sonoma",,CA,954769291
GENESEE PUB LLC,GENESEE PUB AND BBQ,03-08542,Hotel & Restaurant (county),10/18/2021 25948 GENESEE TRAIL ROAD UNITSGolden,,CO,80401
"DIAMOND H ENTERPRISES, LLCGENESEE WINE AND SPIRITS",,03-13134,Liquor Store (county),"03/12/2022 25948 GENESEE TRAIL ROAD, SUITEGolden",,CO,80401
GHC EAST FT COLLINS OPERATGENESIS HEALTH CLUBS,,03-10597,Lodging & Entertainment (City),01/21/2022 1307 EAST PROSPECT ROAD,Fort Collins,CO,80521
GENESIS IMPORT INC,GENESIS IMPORT INC,42-28837-0000 Importer (vinous & spirituous),,08/09/2021 5559 QUAIL CT,Arvada,CO,80002
GENESIS MEDSPA LLC,GENESIS MEDSPA,03-09613,Beer & Wine (city),06/07/2021 142 SOUTH RAVEN MINE DRIVE SUITColorado Springs,,CO,80905
BLACK DOG GRILLS LLC,GENGHIS GRILL,41-76804-0000 Hotel & Restaurant (city),,09/30/2021 2474 C HWY 6 & 50,Grand Junction,CO,81505
"GRILL OPERATIONS 2017, LLC GENGHIS GRILL",,03-11552,Hotel & Restaurant (city),05/19/2021 9617 EAST COUNTY LINE ROAD #B UCentennial,,CO,80112
GENJI LLC,GENJI,03-13018,Hotel & Restaurant (city),03/02/2022 6384 PROMENADE PARKWAY,Castle Rock,CO,80108
TIP INCORPORATED,GENNAROS,42-67566-0000 Hotel & Restaurant (city),,06/04/2021 2598 S BROADWAY,Denver,CO,802105703
COLORADO RV PARKS LLC,GENOA CAFE,03-12170,Hotel & Restaurant (city),09/08/2021 402 MAIN STREET,Genoa,CO,80818
FORT COLLINS ESPRESSO & WGENOA COFFEE & WINE,,03-08099,Beer & Wine (city),09/06/2021 2614 SOUTH TIMBERLINE ROAD #10Fort Collins,,CO,80525
GLENWOOD FOOD & FUEL INC GENOS,,04-39871-0002 Liquor Store (city),,12/20/2021 0023 B MEL REY RD,Glenwood Springs CO,,81601
J Y P INC,GENO'S LIQUORS DENVER,41-50662-0000 Liquor Store (city),,12/04/2021 2336 W 32ND AVE,Denver,CO,80211
POEM CELLARS LLC,GENTLEMAN FARMER WINES,03-14105,Winery Direct Shipper's Permit,12/07/2021 5225 SOLANO AVENUE,Napa,CA,94558
AMER LEGION POSTHOME ASSGEORGE BEACH POST NO 4,,03-10670,Club License (county),12/31/2021 2124 West County Road 54 G,Fort Collins,CO,80524
GLENDINING ENTPRS INC,GEORGE THE,09-83010-0000 Hotel & Restaurant (city),,12/01/2021 292 E MEADOW DR #1,Vail,CO,81657
HISTORIC RAIL ADVENTURES LGEORGETOWN LOOP RAILROAD,,25-50337-0000 Public Transportation,,05/28/2022 646 LOOP ROAD,Georgetown,CO,80444
GEORGETOWN WINE AND SPIRGEORGETOWN WINE AND SPIRITS 42-59878-0000 Liquor Store (city),,,,06/17/2021 1406 ARGENTINE,Georgetown,CO,80444
GEORGIA BOYS BBQ INC,GEORGIA BOYS BBQ,03-07387,Hotel & Restaurant (city),01/23/2022 250 3RD AVENUE,Longmont,CO,80501
SMOKEHOUSE INC THE,GEORGIA BOYS SMOKEHOUSE,03-02383,Hotel & Restaurant (city),01/23/2022 141 5TH ST,Frederick,CO,80530
GEORIS WALTER N,GEORIS WINERY,28-60030-0000 Winery Direct Shipper's Permit,,10/13/2021 1 PILOT ROAD,Carmel Valley,CA,939249515
VAIL VALLEY FOUNDATION,GERALD R FORD AMPHITHEATER,03-13166,Arts License (city),04/21/2022 503 FRONTAGE ROAD EAST,Vail,CO,81657
BACK ALLEY BILLIARDS LLC,GERARD'S POOL HALL,03-07858,Lodging & Entertainment (City),05/22/2021 1305 26TH STREET,Denver,CO,80205
2GW ENTERPRISES LLC,GG CONVENIENCE STORE,04-01226,Fermented Malt Beverage Off (,08/09/2021 7520 EAST COLFAX AVENUE,Denver,CO,80220
DENVER FGD LLC,GHOST DONKEY,03-13170,Tavern (city),05/21/2021 1750 WEWATTA STREET,Denver,CO,80202
GHOST HILL CELLARS LLC,GHOST HILL CELLARS,03-11760,Winery Direct Shipper's Permit,05/27/2021 12220 NE BAYLISS ROAD,Carlton,OR,97111
BLUE FLAME CONCEPTS INC,GIAMPIETRO PIZZERIA,03-06135,Hotel & Restaurant (city),04/19/2022 100 NORTH MAIN STREET #209-#212Breckenridge,,CO,80424
EV & OB ENTERPRISES INC,GIANT DISCOUNT LIQUOR,03-01186,Liquor Store (city),04/11/2022 1000 S WADSWORTH BLVD #C,Lakewood,CO,80226
GIFT SERVICES INC,GIFTTREE .COM,03-06122,Winery Direct Shipper's Permit,03/02/2021 8801 WALL STREET STE 880,Austin,TX,78754
GIGGLING GRIZZLY LLC,GIGGLING GRIZZLY,40-78722-0000 Hotel & Restaurant (city),,11/19/2021 1320 20TH STREET,Denver,CO,802021412
GIGGLING MARLIN INC,GIGGLING MARLIN,03-07297,Importer (vinous & spirituous),11/16/2021 121 EAST OLD BROADMOOR,Colorado Springs,CO,80906
COSTCO WHOLESALE CORPORGILBERTO HERNANDEZ,,03-09196,Manager Permit (LLDS),05/08/2022 170 COOLEY MESA ROAD,Gypsum,CO,81637
GILCREST LIQUOR INC,GILCREST LIQUOR,41-69174-0000 Liquor Store (city),,04/07/2021 505 RAILROAD STREET,Gilcrest,CO,80623
AZTECH SYSTEMS INC,GILDED GOAT BREWING COMPANY 03-06254,,Manufacturer (brewery),04/18/2022 3500 SOUTH COLLEGE AVENUE UNIFort Collins,,CO,80525
"AZTECH SYSTEMS INC,",GILDED GOAT BREWING COMPANY 03-06377,,Wholesale Beer (malt liquor),04/18/2022 3500 SOUTH COLLEGE AVENUE UNIFort Collins,,CO,80525
"THE GILPIN CASINO, LLC",GILPIN HOTEL CASINO,12-21159-0000 Hotel & Restaurant (city),,11/21/2021 111 MAIN STREET,Black Hawk,CO,80422
DMC ENTERPRISE INC,GIN MILL LIQUORS,42-03212-0000 Liquor Store (city),,06/27/2021 410 N CIRCLE DR,Colorado Springs,CO,809096247
GINGER AND BAKER LLC,GINGER AND BAKER,03-07928,Hotel & Restaurant (city),06/04/2021 359 LINDEN STREET,Fort Collins,CO,80524
GINGER RESTAURANT INC,GINGER RESTAURANT,03-08222,Beer & Wine (city),09/13/2021 2381 PATTERSON ROAD UNIT 111 Grand Junction,,CO,81505
KONA CORP,GINOS,03-03978,Hotel & Restaurant (city),11/20/2021 572 BREEZE ST,Craig,CO,81625
GINOS SPORTS BAR LLC,GINOS SPORTS BAR LLC,12-93319-0000 Tavern (city),,01/02/2022 991 E MAIN ST,Trinidad,CO,810822724
GINZA SUSHI & GRILL INC,GINZA SUSHI & GRILL,03-02648,Hotel & Restaurant (city),03/24/2021 2104 SOUTH UNIVERSITY BOULEVA Denver,,CO,80210
GIODONE RESTAURANT INC,GIODONE HOUSE OF PASTA,09-51016-0006 Hotel & Restaurant (city),,05/19/2021 COLORADO STATE FAIRGROUNDS Pueblo,,CO,810049999
GIODONE RESTAURANT INC,GIODONE PLAZA,09-51016-0012 Tavern (city),,07/18/2021 1001 BEULAH AVE,Pueblo,CO,810042415
GIODONE RESTAURANT INC,GIODONE RESTAURANT,09-51016-0001 Hotel & Restaurant / Optional (c,,08/20/2021 23344 HWY 50 E,Pueblo,CO,810062027
GIODONE RESTAURANT INC,GIODONE'S AG PALACE,03-00673,Tavern (city),12/12/2021 1001 BEULAH AVE,Pueblo,CO,81004
GIODONE RESTAURANT INC,GIODONE'S SQUARE,09-51016-0011 Tavern (city),,07/21/2021 1001 BEULAH AVE,Pueblo,CO,810042415
3G3 LODO LLC,GIORDANO'S,03-10262,Hotel & Restaurant (city),"09/09/2021 1600 CALIFORNIA STREET, UNIT 4 Denver",,CO,80202
TERRIZZI VINO,GIORNATA,03-13261,Winery Direct Shipper's Permit,04/16/2021 470-A MARQUITA AVENUE,Paso Robles,CA,93446
GIOT DANG CAFE LLC,GIOT DANG CAFE,03-07446,Hotel & Restaurant (city),01/08/2022 472 SOUTH FEDERAL BOULEVARD Denver,,CO,80219
GIOVANNI'S ITALIAN BAKERY & GIOVANNI'S ITALIAN BAKERY & CAFE03-12546,,,Hotel & Restaurant (city),10/24/2021 13019 WEST ALAMEDA PKWY,Lakewood,CO,80228
JSJ FAMILYENTERPRISES LLC GIOVANNI'S ITALIAN GRILL,,15-36204-0000 Beer & Wine (city),,11/03/2021 855 EAST MAIN,Rangely,CO,816483301
GIRARD WINERY LLC,GIRARD WINERY,07-97540-0000 Winery Direct Shipper's Permit,,11/15/2021 21684 8TH STREET #300,Sonoma,CA,95476
"GIRL BAR, LLC",GIRL BAR,03-14224,Tavern (city),"01/14/2022 78259 US HIGHWAY 40, UNIT B",Winter Park,CO,80482
SHADY LADIES LLC,GIRLS GONE WINE,03-02566,Winery Direct Shipper's Permit,01/14/2022 RT 4 BOX 83-3,Broken Bow,OK,74728
GIULIANA IMPORTS LLC,GIULIANA IMPORTS,09-86361-0000 Importer (vinous & spirituous),,04/30/2022 2253 EDGEWOOD DR,Boulder,CO,80304
GIUSEPPES PIZZERIA & DELI INGIUSEPPES PIZZERIA & DELI,,21-91759-0000 Beer & Wine (city),,07/09/2021 5600 W DARTMOUTH,Denver,CO,802275500
GLACIER MANAGEMENT ASSOCGLACIER CLUB,,07-67796-0000 Hotel & Restaurant / Optional (c,,01/02/2022 600 GLACIER CLUB DRIVE,Durango,CO,813018108
GLACIER ICE ARENA LLC,GLACIER ICE ARENA,03-05117,Beer & Wine (city),08/13/2021 2515 RIVERSIDE PARKWAY,Grand Junction,CO,81501
AJH SINGH LLC,GLACIER LIQUORS,03-12202,Liquor Store (city),"09/04/2021 3652 RELIANCE DRIVE , UNIT A",Frederick,CO,80516
JANSSEN THERESA J,GLADE PARK STORE,24-93954-0000 Fermented Malt Beverage Off (,,02/01/2022 16498 DS ROAD,Glade Park,CO,81523
GOLDIE LOCKS LLC,GLAMOUR BAR,03-05592,Tavern (city),11/18/2021 955 NORTH LINCOLN STREET UNIT Denver,,CO,80203
PARNESS RONALD,GLASS BOTTLE LIQUOR,11-65503-0000 Liquor Store (city),,12/31/2021 336 WEST HAMPDEN,Englewood,CO,801102307
"GLASS OF ART, LLC",GLASS OF ART,03-06741,Tavern (city),,08/01/2021 316 MOUNTAIN AVENUE,Berthoud,CO,80513
GLAZE'S BBQ PLACE LLC,GLAZE'S BBQ PLACE,03-12907,Hotel & Restaurant (city),,01/22/2022 416 MAIN STREET,Wray,CO,80758
"DBLD LIQUOR, LLC",GLEN ECHO LIQUOR,03-04399,Liquor Store (county),,06/18/2021 31503 POUDRE CANYON HIGHWAY Bellvue,,CO,80512
"3DT, INC",GLEN ECHO RESORT,03-04382,Hotel & Restaurant (county),,06/03/2021 31503 POUDRE CANYON HWY 14,Bellvue,CO,80512
